Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"KeyCaps","KeyCaps for Switches",2,9.00,"https://www.amazon.in/CALANDISTM-Transparent-Switches-Keyboards-Pointers/dp/B0F13YK4D6/522-8322809-4467453?pd_rd_w=FOyoQ&content-id=amzn1.sym.d1406b44-aa69-47e4-9270-f613e12d52dc&pf_rd_p=d1406b44-aa69-47e4-9270-f613e12d52dc&pf_rd_r=DV6SXD4H5XB2JEDA1MSY&pd_rd_wg=cqYq7&pd_rd_r=c42c3bfd-e81d-4d52-af39-e97dac321102&pd_rd_i=B0F13YK4D6&psc=1","Amazon"
"Rotatry Encoder","Fidget Toy and Switches",1,3.00,"https://www.amazon.in/CentIoT-Encoder-Digital-Potentiometer-Control/dp/B0888RVZSN?dib=eyJ2IjoiMSJ9.5juthjEg2zJGwelGn8I2ZLRpGxI_Zypez8mWFc6VjiC4uMSiCSIojGzsGRmV71Km39BEu4TwZ3tFAWkCa6KwlUX-YGtpa-I-r4SUZSZ07xfdq-euNNbIL0Q0TDwMEJGTzdbUtKfgIA5yUuILl3LVCdHWjvklSv-2j7dEixy5-Kum0zHiT1tfcx2QoXglHpNefzkqfElzjso_X4GJ2-tedlv8nu2uDJH7oEKK0FJp-67mgWZTbGZg9liyLTUx_CpGYsQsBtm1_LvjLg2PLYO6WXls2ao4Hw3agXHDvVweHUA.jEN-Y61XZlQ_lQk-HzscZZjHMJiKe9EFq8ANm-3WZWg&dib_tag=se&keywords=rotary+encoder&qid=1780830174&sr=8-11","Amazon"
"PCB","Circuit to Attach Components",1,3.00,"https://jlcpcb.com/user-center/orders/?_t=1780829798859","JLCPCB"
"Switches","Keyboard Switch",12,10.00,"https://www.sunrom.com/p/cherry-mx-blue-switch-mx1a-e1nn","Sunroom"
"Oled Display","Version Display",1,4.00,"https://www.amazon.in/Robocraze-Display-Module-Interface-Arduino/dp/B084H9HLCS?crid=3OD6WE0FGU4LG&dib=eyJ2IjoiMSJ9.h1p5B8JGgGKqduUpYWgqnGGiIcT4U-Ky_IJr-nDu_SReo1qMB-3RN96MYa-WdXwS_G6wMw53VFMgjSiG8jMOIW5t5GQDGgvE_mzcGxlRny-Pu6B1g9SbAX21OFmIQuBrFWGme8swgGPPwELkRBck94UzMN8Fvki5GoHX6VBXpMFTMrcRYiL6ua4orPM8gW8XGeaY0Akzbg5i_0YAxg_C-6CNwdTvCihY4Y4crPrpnk6jG7S4SDbUCrcKvjhF5a3XHCRgC48SkFyaWL9HHQROZz_JcPZnGIdpj9s77LK0Ih0.vrcDZoxg11H76TpUwnCaaJB3nPNxnN9c-y9352Mus3Y&dib_tag=se&keywords=0.91%2Boled%2Bdisplay&qid=1780829487&sprefix=0.91%2Boled%2Bdispla%2Caps%2C279&sr=8-2&th=1","Amazon"
"XIAO RP2040","Microcontroller",1,20.00,"https://www.amazon.in/Microcontroller-Dual-Core-MicroPython-CircuitPython-Interfaces/dp/B09NNVNW7M?crid=2NRJVE2085RFX&dib=eyJ2IjoiMSJ9._4Zgeb6QSB8NzcFIaAXxdrh6t9O1mUJG8FrC1aUv8BKgI9ycU_z8s_RfYltR12HMV74MvizP6GdKP389lHHdlKrtBTq2A2Mxvo-Cem3jFKHXrLaq6Z6lmIBsG4bxl2CvXI9N510dqXdp_Dlpj51NmgIvAd2LSW65NnJLkUJ1RCpWoKicuH2UJJg66kPxe2RF.821lNXSqFaPclC8fGHG6bY06ygxIoi_GIQjkdnf-3Tw&dib_tag=se&keywords=xiao+rp2040&qid=1781453751&sprefix=xiaorp2040%2Caps%2C304&sr=8-4","Amazon"
